    # Step        E_Field           E_PP     E_Coupling        E_Total
         1  -3.666752E+01   0.000000E+00   8.604216E+01   4.937464E+01
     10000  -1.453081E+01   0.000000E+00   3.290173E-01  -1.420179E+01
     20000  -3.104901E+01   0.000000E+00   3.035675E-01  -3.074544E+01
     30000  -3.848873E+01   0.000000E+00   1.625764E-01  -3.832615E+01
     40000  -4.009997E+01   0.000000E+00   3.140475E-01  -3.978592E+01
     50000  -4.439019E+01   0.000000E+00   2.554026E-01  -4.413478E+01
     60000  -4.848571E+01   0.000000E+00   1.991347E-01  -4.828658E+01
     70000  -4.866764E+01   9.460115E-02   2.638736E-01  -4.830917E+01
     80000  -4.833108E+01   0.000000E+00   3.785730E-01  -4.795251E+01
     90000  -4.883060E+01   0.000000E+00   1.971226E-01  -4.863348E+01
    100000  -4.843104E+01   0.000000E+00   2.914653E-01  -4.813957E+01
    110000  -4.804123E+01   1.593963E-01   2.651077E-01  -4.761673E+01
    120000  -4.852920E+01   0.000000E+00   3.380385E-01  -4.819116E+01
    130000  -4.821039E+01   0.000000E+00   3.270577E-01  -4.788334E+01
    140000  -4.905941E+01   3.975234E-03   1.524010E-01  -4.890303E+01
    150000  -4.862490E+01   0.000000E+00   2.283440E-01  -4.839655E+01
    160000  -4.844430E+01   0.000000E+00   3.019666E-01  -4.814233E+01
    170000  -4.858247E+01   0.000000E+00   3.512981E-01  -4.823117E+01
    180000  -4.865602E+01   0.000000E+00   1.938608E-01  -4.846216E+01
    190000  -4.856499E+01   0.000000E+00   2.759442E-01  -4.828905E+01
    200000  -4.825726E+01   1.863306E-01   2.880911E-01  -4.778284E+01
    210000  -4.906512E+01   0.000000E+00   1.833598E-01  -4.888176E+01
    220000  -4.813007E+01   0.000000E+00   4.208924E-01  -4.770918E+01
    230000  -4.855816E+01   0.000000E+00   3.145048E-01  -4.824365E+01
    240000  -4.884555E+01   1.940742E-01   2.250450E-01  -4.842643E+01
    250000  -4.810670E+01   2.010447E-02   2.405045E-01  -4.784609E+01
    260000  -4.826487E+01   0.000000E+00   2.020909E-01  -4.806278E+01
    270000  -4.903193E+01   0.000000E+00   2.056929E-01  -4.882624E+01
    280000  -4.806306E+01   0.000000E+00   2.705430E-01  -4.779251E+01
    290000  -4.868528E+01   0.000000E+00   2.126463E-01  -4.847263E+01
    300000  -4.810219E+01   0.000000E+00   2.310766E-01  -4.787112E+01
    310000  -4.824713E+01   0.000000E+00   2.584786E-01  -4.798865E+01
    320000  -4.864810E+01   0.000000E+00   2.413765E-01  -4.840673E+01
    330000  -4.854766E+01   0.000000E+00   1.665901E-01  -4.838107E+01
    340000  -4.885363E+01   4.744281E-02   1.254373E-01  -4.868075E+01
    350000  -4.863636E+01   0.000000E+00   3.082755E-01  -4.832808E+01
    360000  -4.838391E+01   0.000000E+00   2.458529E-01  -4.813805E+01
    370000  -4.822309E+01   0.000000E+00   2.068357E-01  -4.801625E+01
    380000  -4.851766E+01   0.000000E+00   2.465659E-01  -4.827109E+01
    390000  -4.810966E+01   0.000000E+00   3.696076E-01  -4.774006E+01
    400000  -4.888654E+01   0.000000E+00   1.603630E-01  -4.872618E+01
    410000  -4.793362E+01   0.000000E+00   3.504291E-01  -4.758319E+01
    420000  -4.846818E+01   1.984116E-01   2.377845E-01  -4.803199E+01
    430000  -4.836506E+01   0.000000E+00   3.056852E-01  -4.805938E+01
    440000  -4.881885E+01   6.137795E-02   2.326968E-01  -4.852477E+01
    450000  -4.812653E+01   0.000000E+00   3.280126E-01  -4.779851E+01
    460000  -4.836049E+01   0.000000E+00   3.040215E-01  -4.805647E+01
    470000  -4.847616E+01   0.000000E+00   2.442200E-01  -4.823194E+01
    480000  -4.872837E+01   0.000000E+00   1.648574E-01  -4.856352E+01
    490000  -4.781346E+01   0.000000E+00   5.176789E-01  -4.729578E+01
    500000  -4.827177E+01   1.862447E-03   3.138547E-01  -4.795605E+01
    510000  -4.828764E+01   0.000000E+00   3.044298E-01  -4.798321E+01
    520000  -4.835118E+01   0.000000E+00   2.038099E-01  -4.814737E+01
    530000  -4.848166E+01   0.000000E+00   2.858006E-01  -4.819586E+01
    540000  -4.849632E+01   0.000000E+00   3.512689E-01  -4.814505E+01
    550000  -4.822536E+01   4.098868E-03   2.046869E-01  -4.801658E+01
    560000  -4.860203E+01   0.000000E+00   2.163287E-01  -4.838570E+01
    570000  -4.862585E+01   1.084068E-01   3.416596E-01  -4.817578E+01
    580000  -4.758845E+01   0.000000E+00   3.319299E-01  -4.725652E+01
    590000  -4.807439E+01   9.772997E-02   3.548405E-01  -4.762182E+01
    600000  -4.844199E+01   0.000000E+00   2.856041E-01  -4.815639E+01
    610000  -4.820165E+01   0.000000E+00   2.834959E-01  -4.791816E+01
    620000  -4.861026E+01   0.000000E+00   2.339761E-01  -4.837629E+01
    630000  -4.827100E+01   0.000000E+00   2.550951E-01  -4.801591E+01
    640000  -4.808208E+01   0.000000E+00   2.917503E-01  -4.779033E+01
    650000  -4.835758E+01   0.000000E+00   2.832941E-01  -4.807429E+01
    660000  -4.846308E+01   0.000000E+00   1.833144E-01  -4.827976E+01
    670000  -4.844180E+01   0.000000E+00   3.376619E-01  -4.810414E+01
    680000  -4.796633E+01   0.000000E+00   3.400110E-01  -4.762632E+01
    690000  -4.844514E+01   0.000000E+00   3.070610E-01  -4.813808E+01
    700000  -4.841191E+01   0.000000E+00   2.608866E-01  -4.815103E+01
    710000  -4.865470E+01   0.000000E+00   1.840852E-01  -4.847061E+01
    720000  -4.846209E+01   2.666815E-03   2.040293E-01  -4.825539E+01
    730000  -4.829764E+01   0.000000E+00   3.370015E-01  -4.796064E+01
    740000  -4.816072E+01   0.000000E+00   2.959741E-01  -4.786475E+01
    750000  -4.865487E+01   0.000000E+00   2.926336E-01  -4.836223E+01
    760000  -4.822808E+01   0.000000E+00   2.549853E-01  -4.797309E+01
    770000  -4.876383E+01   0.000000E+00   2.162661E-01  -4.854756E+01
